week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,proptotal_atleast1dose,proptotal_1dose,proptotal_2doses
2020-12-19,1,Canada,Canada,8734,8734,0,0.068445406,0.068445406,0
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,0.186170162,0.186170162,0
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,1092,1092,0,0.111502413,0.111502413,0
2020-12-19,24,Quebec,Québec,4728,4728,,0.055139785,0.055139785,
2020-12-19,46,Manitoba,Manitoba,894,894,0,0.064817225,0.064817225,0
2020-12-19,47,Saskatchewan,Saskatchewan,1048,1048,0,0.088912946,0.088912946,0
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
2020-12-19,60,Yukon,Yukon,0,0,0,0,0,0
2020-12-19,62,Nunavut,Nunavut,0,0,0,0,0,0
2020-12-26,1,Canada,Canada,33734,33734,0,0.186133902,0.186133902,0
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,1152,1152,0,0.721691464,0.721691464,0
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,2218,2218,0,0.226476514,0.226476514,0
2020-12-26,13,New Brunswick,Nouveau-Brunswick,2606,2606,0,0.333471533,0.333471533,0
2020-12-26,24,Quebec,Québec,17221,17221,,0.200838036,0.200838036,
2020-12-26,46,Manitoba,Manitoba,2177,2177,0,0.157837918,0.157837918,0
2020-12-26,47,Saskatchewan,Saskatchewan,1783,1783,0,0.151270785,0.151270785,0
2020-12-26,48,Alberta,Alberta,4792,4792,0,0.108370294,0.108370294,0
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
2020-12-26,60,Yukon,Yukon,0,0,0,0,0,0
2020-12-26,62,Nunavut,Nunavut,0,0,0,0,0,0
2021-01-02,1,Canada,Canada,77521,77521,0,0.333119564,0.333119564,0
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,1674,1674,0,1.048707909,1.048707909,0
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,2720,2720,0,0.277734949,0.277734949,0
2021-01-02,13,New Brunswick,Nouveau-Brunswick,2886,2886,0,0.369301169,0.369301169,0
2021-01-02,24,Quebec,Québec,28312,28312,,0.330185615,0.330185615,
2021-01-02,46,Manitoba,Manitoba,3432,3432,0,0.248828541,0.248828541,0
2021-01-02,47,Saskatchewan,Saskatchewan,3545,3545,0,0.300759917,0.300759917,0
2021-01-02,48,Alberta,Alberta,13383,13383,0,0.302654349,0.302654349,0
2021-01-02,59,British Columbia,Colombie-Britannique,19654,19654,0,0.381800691,0.381800691,0
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,130,130,0,0.287858993,0.287858993,0
2021-01-02,60,Yukon,Yukon,0,0,0,0,0,0
2021-01-02,62,Nunavut,Nunavut,0,0,0,0,0,0
2021-01-09,1,Canada,Canada,211520,207033,4487,0.908933711,0.889652388,0.019281
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2847,1994,853,0.545294702,0.381916978,0.163378
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,2487,2487,0,1.558026625,1.558026625,0
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,2755,1679,1076,0.281308744,0.171440066,0.109869
2021-01-09,13,New Brunswick,Nouveau-Brunswick,6241,na,na,0.798616976,na,na
2021-01-09,24,Quebec,Québec,83294,83294,,0.971407199,0.971407199,
2021-01-09,46,Manitoba,Manitoba,8694,7813,881,0.630336636,0.566461944,0.063875
2021-01-09,47,Saskatchewan,Saskatchewan,5524,4571,953,0.468659459,0.38780637,0.080853
2021-01-09,48,Alberta,Alberta,44298,43574,724,1.001792,0.985418858,0.016373
2021-01-09,59,British Columbia,Colombie-Britannique,54354,54354,0,1.055886576,1.055886576,0
2021-01-09,61,Northwest Territories,Territoires du Nord-Ouest,511,511,0,1.131507274,1.131507274,0
2021-01-09,60,Yukon,Yukon,495,495,0,1.177114049,1.177114049,0
2021-01-09,62,Nunavut,Nunavut,29,29,0,0.073691968,0.073691968,0
2021-01-16,1,Canada,Canada,560796,534036,26760,1.475575551,1.405164204,0.070411
2021-01-16,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4250,2516,1734,0.814015625,0.48189725,0.332118
2021-01-16,11,Prince Edward Island,Île-du-Prince-Édouard,4302,2907,1395,2.695066562,1.821143305,0.873923
2021-01-16,12,Nova Scotia,Nouvelle-Écosse,5740,3533,2207,0.586102429,0.360749108,0.225353
2021-01-16,13,New Brunswick,Nouveau-Brunswick,7918,5353,2565,1.013210898,0.684985847,0.328225
2021-01-16,24,Quebec,Québec,145786,145786,,1.70021334,1.70021334,
2021-01-16,35,Ontario,Ontario,189240,178383,10857,1.284375052,1.210688411,0.073687
2021-01-16,46,Manitoba,Manitoba,16499,14355,2144,1.19621856,1.040773225,0.155445
2021-01-16,47,Saskatchewan,Saskatchewan,14310,12572,1738,1.214068947,1.066615989,0.147453
2021-01-16,48,Alberta,Alberta,81859,77784,4075,1.85122785,1.759072394,0.092155
2021-01-16,59,British Columbia,Colombie-Britannique,85547,85502,45,1.661845107,1.660970932,0.000874
2021-01-16,61,Northwest Territories,Territoires du Nord-Ouest,1893,1893,0,4.191669804,4.191669804,0
2021-01-16,60,Yukon,Yukon,1311,1311,0,3.117568724,3.117568724,0
2021-01-16,62,Nunavut,Nunavut,2141,2141,0,5.440500089,5.440500089,0
2021-01-23,48,Alberta,Alberta,89557,80088,9469,2.025316856,1.811176976,0.21414
2021-01-23,59,British Columbia,Colombie-Britannique,114672,111408,3264,2.22763045,2.16422364,0.063407
2021-01-23,1,Canada,Canada,772032,712823,59209,2.031383148,1.875591465,0.155792
2021-01-23,46,Manitoba,Manitoba,25839,22443,3396,1.873391804,1.627173353,0.246218
2021-01-23,13,New Brunswick,Nouveau-Brunswick,11516,8675,2841,1.473621711,1.110078876,0.363543
2021-01-23,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,7428,5691,1737,1.42270778,1.090014806,0.332693
2021-01-23,61,Northwest Territories,Territoires du Nord-Ouest,9471,9471,0,20.97163482,20.97163482,0
2021-01-23,12,Nova Scotia,Nouvelle-Écosse,8288,5580,2708,0.846274727,0.569765079,0.27651
2021-01-23,62,Nunavut,Nunavut,4448,4448,0,11.30282316,11.30282316,0
2021-01-23,35,Ontario,Ontario,249132,217691,31441,1.69086306,1.477472466,0.213391
2021-01-23,11,Prince Edward Island,Île-du-Prince-Édouard,5219,3331,1888,3.26953798,2.086765857,1.182772
2021-01-23,24,Quebec,Québec,218833,218833,,2.552116018,2.552116018,
2021-01-23,47,Saskatchewan,Saskatchewan,23678,21213,2465,2.008855662,1.799723589,0.209132
2021-01-23,60,Yukon,Yukon,3951,3951,0,9.395510321,9.395510321,0
2021-01-30,1,Canada,Canada,855898,742467,113431,2.25205273,1.953591239,0.298461
2021-01-30,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,8352,5590,2762,1.599684353,1.070669964,0.529014
2021-01-30,11,Prince Edward Island,Île-du-Prince-Édouard,5282,2716,2566,3.309005482,1.701487862,1.607518
2021-01-30,12,Nova Scotia,Nouvelle-Écosse,12090,9361,2729,1.234491005,0.95583708,0.278654
2021-01-30,13,New Brunswick,Nouveau-Brunswick,12791,8326,4465,1.636774514,1.065419795,0.571355
2021-01-30,24,Quebec,Québec,239500,239500,,2.793142654,2.793142654,
2021-01-30,35,Ontario,Ontario,270795,201946,68849,1.837890204,1.370610887,0.467279
2021-01-30,46,Manitoba,Manitoba,32441,23938,8503,2.352053234,1.735564573,0.616489
2021-01-30,47,Saskatchewan,Saskatchewan,27231,24159,3072,2.310294304,2.049663989,0.26063
2021-01-30,48,Alberta,Alberta,90238,74244,15994,2.04071756,1.679015875,0.361702
2021-01-30,59,British Columbia,Colombie-Britannique,132116,127743,4373,2.566499447,2.481549084,0.08495
2021-01-30,61,Northwest Territories,Territoires du Nord-Ouest,12240,12122,118,27.10303138,26.84174398,0.261287
2021-01-30,60,Yukon,Yukon,7358,7358,0,17.49738419,17.49738419,0
2021-01-30,62,Nunavut,Nunavut,5464,5464,0,13.88458313,13.88458313,0
2021-02-06,1,Canada,Canada,900547,726759,173788,2.369533905,1.912260094,0.457274
2021-02-06,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,8890,4822,4068,1.702729155,0.923572552,0.779157
2021-02-06,11,Prince Edward Island,Île-du-Prince-Édouard,5310,1795,3515,3.326546594,1.124510572,2.202036
2021-02-06,12,Nova Scotia,Nouvelle-Écosse,12849,7716,5133,1.311991309,0.787868701,0.524123
2021-02-06,13,New Brunswick,Nouveau-Brunswick,13262,7844,5418,1.697045079,1.003741638,0.693303
2021-02-06,24,Quebec,Québec,257507,257507,,3.003147329,3.003147329,
2021-02-06,35,Ontario,Ontario,277440,175696,101744,1.882989931,1.192451697,0.690538
2021-02-06,46,Manitoba,Manitoba,33641,19998,13643,2.439056221,1.449904768,0.989151
2021-02-06,47,Saskatchewan,Saskatchewan,29777,24370,5407,2.526298464,2.067565355,0.458733
2021-02-06,48,Alberta,Alberta,90668,68989,21679,2.050441939,1.560174912,0.490267
2021-02-06,59,British Columbia,Colombie-Britannique,142074,129959,12115,2.759944612,2.524597336,0.235347
2021-02-06,61,Northwest Territories,Territoires du Nord-Ouest,12832,12533,299,28.41389695,27.75182126,0.662076
2021-02-06,60,Yukon,Yukon,10447,9968,479,24.84305146,23.70398554,1.139066
2021-02-06,62,Nunavut,Nunavut,5850,5562,288,14.86544863,14.13361116,0.731837
2021-02-13,59,British Columbia,Colombie-Britannique,148438,125971,22467,2.883572352,2.447126024,0.436446
2021-02-13,48,Alberta,Alberta,94996,44314,50682,2.148318949,1.002153837,1.146165
2021-02-13,47,Saskatchewan,Saskatchewan,32888,23342,9546,2.790237562,1.980349221,0.809888
2021-02-13,46,Manitoba,Manitoba,34848,14442,20406,2.526566724,1.047080941,1.479486
2021-02-13,35,Ontario,Ontario,292983,118340,174643,1.988480532,0.803175564,1.185305
2021-02-13,24,Quebec,Québec,293744,293744,,3.425757394,3.425757394,
2021-02-13,13,New Brunswick,Nouveau-Brunswick,13676,6172,7504,1.750021754,0.78978753,0.960234
2021-02-13,12,Nova Scotia,Nouvelle-Écosse,14727,6688,8039,1.503750953,0.682901227,0.82085
2021-02-13,11,Prince Edward Island,Île-du-Prince-Édouard,5709,812,4897,3.576507439,0.508692247,3.067815
2021-02-13,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,9792,4343,5449,1.875492001,0.831828202,1.043664
2021-02-13,60,Yukon,Yukon,10524,9657,867,25.02615809,22.964425,2.061733
2021-02-13,61,Northwest Territories,Territoires du Nord-Ouest,13578,12999,579,30.06576471,28.78368504,1.28208
2021-02-13,62,Nunavut,Nunavut,6498,4364,2134,16.51208294,11.08937057,5.422712
2021-02-13,1,Canada,Canada,972401,665188,307213,2.558597318,1.750253478,0.808344
2021-02-20,59,British Columbia,Colombie-Britannique,163613,108590,55023,3.178363514,2.109480872,1.068883
2021-02-20,48,Alberta,Alberta,103236,37048,66188,2.334665196,0.83783444,1.496831
2021-02-20,47,Saskatchewan,Saskatchewan,37785,21819,15966,3.205701967,1.851136991,1.354565
2021-02-20,46,Manitoba,Manitoba,36279,11082,25197,2.630317786,0.803472579,1.826845
2021-02-20,35,Ontario,Ontario,319913,84860,235053,2.171254894,0.575946242,1.595309
2021-02-20,24,Quebec,Québec,345990,345990,,4.035070676,4.035070676,
2021-02-20,13,New Brunswick,Nouveau-Brunswick,15282,4247,11035,1.955530304,0.543458788,1.412072
2021-02-20,12,Nova Scotia,Nouvelle-Écosse,14915,6690,8225,1.52294734,0.683105444,0.839842
2021-02-20,11,Prince Edward Island,Île-du-Prince-Édouard,6466,1304,5162,4.050743931,0.816914644,3.233829
2021-02-20,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10436,4324,6112,1.998839309,0.828189074,1.17065
2021-02-20,60,Yukon,Yukon,10613,9523,1090,25.23780082,22.6457719,2.592029
2021-02-20,61,Northwest Territories,Territoires du Nord-Ouest,14520,12586,1934,32.15163526,27.86917916,4.282456
2021-02-20,62,Nunavut,Nunavut,6977,2870,4107,17.72927096,7.292963688,10.43631
2021-02-20,1,Canada,Canada,1086025,650933,435092,2.857566633,1.712745491,1.144821
2021-02-27,59,British Columbia,Colombie-Britannique,191820,108035,83785,3.726315691,2.098699383,1.627616
2021-02-27,48,Alberta,Alberta,139961,52554,87407,3.165195044,1.188500085,1.976695
2021-02-27,47,Saskatchewan,Saskatchewan,46300,22836,23464,3.928119652,1.937419879,1.9907
2021-02-27,46,Manitoba,Manitoba,46651,17675,28976,3.382313598,1.281481487,2.100832
2021-02-27,35,Ontario,Ontario,425162,163239,261923,2.885581621,1.107905829,1.777676
2021-02-27,24,Quebec,Québec,431750,431750,,5.035237331,5.035237331,
2021-02-27,13,New Brunswick,Nouveau-Brunswick,21700,9558,12142,2.776796728,1.22307019,1.553727
2021-02-27,12,Nova Scotia,Nouvelle-Écosse,19734,7116,12618,2.015007898,0.726603639,1.288404
2021-02-27,11,Prince Edward Island,Île-du-Prince-Édouard,7376,2159,5217,4.62083007,1.352545027,3.268285
2021-02-27,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,16031,7819,8212,3.070466939,1.497597217,1.57287
2021-02-27,60,Yukon,Yukon,10959,6157,4802,26.06059165,14.64139637,11.4192
2021-02-27,61,Northwest Territories,Territoires du Nord-Ouest,15217,10659,4558,33.69500233,23.60222316,10.09278
2021-02-27,62,Nunavut,Nunavut,7402,2321,5081,18.80923945,5.897898508,12.91134
2021-02-27,1,Canada,Canada,1380063,841878,538185,3.631244198,2.215163078,1.416081
2021-03-06,59,British Columbia,Colombie-Britannique,333255,246312,86943,6.473847022,4.78488307,1.688964
2021-03-06,48,Alberta,Alberta,202240,111621,90619,4.573624407,2.524290595,2.049334
2021-03-06,47,Saskatchewan,Saskatchewan,56513,29131,27382,4.794596672,2.471491438,2.323105
2021-03-06,46,Manitoba,Manitoba,59400,29038,30362,4.306647826,2.105327265,2.201321
2021-03-06,35,Ontario,Ontario,619315,347483,271832,4.203301286,2.358372946,1.844928
2021-03-06,24,Quebec,Québec,548041,548041,,6.391468448,6.391468448,
2021-03-06,13,New Brunswick,Nouveau-Brunswick,26331,14179,12152,3.369393302,1.814387134,1.555006
2021-03-06,12,Nova Scotia,Nouvelle-Écosse,25011,10578,14433,2.553834121,1.080103048,1.473731
2021-03-06,11,Prince Edward Island,Île-du-Prince-Édouard,8671,3159,5512,5.4321065,1.979013312,3.453093
2021-03-06,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,20651,11515,9136,3.955349806,2.205503512,1.749846
2021-03-06,60,Yukon,Yukon,14565,5972,8593,34.63568915,14.20146485,20.43422
2021-03-06,61,Northwest Territories,Territoires du Nord-Ouest,17056,5907,11149,37.76709993,13.0798698,24.68723
2021-03-06,62,Nunavut,Nunavut,9199,3741,5458,23.37560034,9.506263817,13.86934
2021-03-06,1,Canada,Canada,1940248,1366677,573571,5.105212076,3.596022738,1.509189
2021-03-13,59,British Columbia,Colombie-Britannique,409033,321939,87094,7.945918497,6.254021204,1.691897
2021-03-13,48,Alberta,Alberta,288021,196481,91540,6.513547644,4.443385568,2.070162
2021-03-13,47,Saskatchewan,Saskatchewan,69655,41289,28366,5.909571801,3.50298342,2.406588
2021-03-13,46,Manitoba,Manitoba,72282,39151,33131,5.240624884,2.838544933,2.40208
2021-03-13,35,Ontario,Ontario,874937,589270,285667,5.938212085,3.999385368,1.938827
2021-03-13,24,Quebec,Québec,714039,714039,,8.327402036,8.327402036,
2021-03-13,13,New Brunswick,Nouveau-Brunswick,39188,27023,12165,5.014613373,3.457943686,1.55667
2021-03-13,12,Nova Scotia,Nouvelle-Écosse,31964,15851,16113,3.263794084,1.618520837,1.645273
2021-03-13,11,Prince Edward Island,Île-du-Prince-Édouard,10393,4792,5601,6.510884886,3.002036022,3.508849
2021-03-13,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,27023,17781,9242,5.175798645,3.405649843,1.770149
2021-03-13,60,Yukon,Yukon,19181,8819,10362,45.61257491,20.97165414,24.64092
2021-03-13,61,Northwest Territories,Territoires du Nord-Ouest,19680,7293,12387,43.577423,16.14888953,27.42853
2021-03-13,62,Nunavut,Nunavut,10276,4238,6038,26.11236755,10.76919168,15.34318
2021-03-13,1,Canada,Canada,2585672,1987966,597706,6.803462196,5.230768454,1.572694
2021-03-20,59,British Columbia,Colombie-Britannique,452747,365553,87194,8.795111304,7.1012714,1.69384
2021-03-20,48,Alberta,Alberta,388455,295425,93030,8.78484607,6.680987888,2.103858181
2021-03-20,47,Saskatchewan,Saskatchewan,101128,70522,30606,8.579759918,5.983128599,2.596631319
2021-03-20,46,Manitoba,Manitoba,90578,47170,43408,6.567130417,3.41994239,3.147188027
2021-03-20,35,Ontario,Ontario,1225457,927042,298415,8.317197201,6.291849594,2.025347607
2021-03-20,24,Quebec,Québec,945386,945386,,11.02546122,11.02546122,
2021-03-20,13,New Brunswick,Nouveau-Brunswick,49621,37446,12175,6.349651173,4.791701856,1.557949316
2021-03-20,12,Nova Scotia,Nouvelle-Écosse,40820,20720,20100,4.168066403,2.115686817,2.052379586
2021-03-20,11,Prince Edward Island,Île-du-Prince-Édouard,13007,7387,5620,8.148472984,4.627721222,3.520751762
2021-03-20,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,38915,29354,9561,7.453510131,5.622262274,1.831247857
2021-03-20,60,Yukon,Yukon,22146,11671,10475,52.66336916,27.75373347,24.90963569
2021-03-20,61,Northwest Territories,Territoires du Nord-Ouest,22113,8832,13281,48.96481477,19.55669715,29.40811762
2021-03-20,62,Nunavut,Nunavut,11858,5393,6465,30.13239143,13.70416487,16.42822656
2021-03-20,1,Canada,Canada,3402231,2771901,630330,8.95200551,7.293470968,1.658535
2021-03-27,59,British Columbia,Colombie-Britannique,609515,522171,87344,11.84050312,10.1437493,1.69675382
2021-03-27,48,Alberta,Alberta,504407,408266,96141,11.40708152,9.232868583,2.174213
2021-03-27,47,Saskatchewan,Saskatchewan,134586,98283,36303,11.41835662,8.338388419,3.079968
2021-03-27,46,Manitoba,Manitoba,117810,62870,54940,8.541518188,4.558231461,3.983287
2021-03-27,35,Ontario,Ontario,1672351,1363194,309157,11.35027427,9.252020529,2.098254
2021-03-27,24,Quebec,Québec,1218801,1218801,,14.21413386,14.21413386,
2021-03-27,13,New Brunswick,Nouveau-Brunswick,79092,66887,12205,10.12084824,8.559060035,1.561788
2021-03-27,12,Nova Scotia,Nouvelle-Écosse,45708,25129,20579,4.667172444,2.565882916,2.10129
2021-03-27,11,Prince Edward Island,Île-du-Prince-Édouard,15305,8901,6404,9.588097103,5.576194205,4.011903
2021-03-27,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,51244,41597,9647,9.814921577,7.967201874,1.84772
2021-03-27,60,Yukon,Yukon,23028,12268,10760,54.76077238,29.17340436,25.58737
2021-03-27,61,Northwest Territories,Territoires du Nord-Ouest,23721,9790,13931,52.52540909,21.6779965,30.84741
2021-03-27,62,Nunavut,Nunavut,13141,6284,6857,33.39262572,15.96828704,17.42434
2021-03-27,1,Canada,Canada,4508709,3844441,664268,11.86338841,10.11555565,1.747833